IndexType,UniqueFlag,IndexTypeAbbr,IndexTypeDesc,IndexTypeBucket
P,Y,UPI,Unique Primary Index,Primary Index
P,N,NUPI,Non-Unique Primary Index,Primary Index
Q,Y,PPI,Partitioned Primary Index (unique),Partition
Q,N,PPI,Partitioned Primary Index (non-unique),Partition
A,N,PA,Primary AMP Index,Primary AMP Index
S,Y,USI,Unique Secondary Index,Secondary Index
S,N,NUSI,Non-Unique Secondary Index,Secondary Index
U,Y,USI-NN,Unique Secondary with NOT NULL,Secondary Index
K,Y,PK,Primary Key,Primary Key
J,Y,JI,Join Index (unique),Join Index
J,N,JI,Join Index (non-unique),Join Index
N,N,Hash-SI,Hash Index,Secondary Index
V,N,VO-SI,Value Ordered Secondary Index,Secondary Index
H,N,HOA-SI,Hash Ordered ALL (covering) Secondary Index,Secondary Index
O,N,VOA-SI,Value Ordered ALL (covering) Secondary Index,Secondary Index
I,N,OCC-SI,Ordering Column of a Composite Secondary Index,Secondary Index
M,N,MC-Stats,Multi-Column Statistics,Statistics
D,N,DC-Stats,Derived Column Partition Statistics,Statistics
G,N,Geo-NUSI,Geospatial non-unique Secondary Index,Secondary Index
1,N,Unknown,Columns that comprise the first field of the join index,Join Index
2,N,Unknown,Columns that comprise the second field of the join index,Join Index
